venue_id,venue_name,city_name,n_events,n_artists,capacity,capacity_source
13de59ad,Stirring Coffeehouse,Redding,1,1,100,heuristic_coffee
5bd70b80,Kern County Fairgrounds,Bakersfield,1,1,8000,heuristic_fairgrounds
6bd31256,Maranatha Chapel,San Diego,1,1,500,default_small_club
7bd25a14,The Stone House,Nevada City,1,1,500,default_small_club
3bd10c20,Sunny Hill House,Petaluma,1,1,500,default_small_club
3bd4d4a4,Dublab,Los Angeles,1,1,500,default_small_club
43d64fc3,KQED Studios,San Francisco,1,1,500,default_small_club
43d3634b,Private Venue,Santa Cruz,1,1,500,default_small_club
33d0fc55,The Union,Oroville,1,1,500,default_small_club
3bd39800,Gold Country Casino & Hotel,Oroville,1,1,500,default_small_club
73d042c9,Wylde Works,Santa Barbara,1,1,500,default_small_club
7bde2e44,Tap & Vine,Auburn,1,1,500,default_small_club
53d5d3f5,American Legion Hall 206,Los Angeles,1,1,800,heuristic_hall
53d01341,Woodbridge Crossing,Woodbridge,1,1,500,default_small_club
3bd42824,ApCal Winery,Madera,1,1,500,default_small_club
1bd6c9c4,Orpheum Theatre,San Francisco,1,1,1200,heuristic_theater
1bd5c99c,Red Studios,Los Angeles,1,1,500,default_small_club
43d3bfe7,Sonny McLeans,West Hollywood,1,1,500,default_small_club
23d478cb,Museum of Contemporary Art San Diego,La Jolla,1,1,500,default_small_club
53d7fbb5,Capital Christian Center,Sacramento,1,1,500,default_small_club
43d397ef,Marines' Memorial Theatre,San Francisco,1,1,1200,heuristic_theater
1bd1b900,St. Charles Borromeo Church,Los Angeles,1,1,500,default_small_club
73d52291,The Autry,Los Angeles,1,1,500,default_small_club
2bd0e4fe,The Wicked Shamrock,Lompoc,1,1,500,default_small_club
73d042e5,Kinky Kontrol,Los Angeles,1,1,500,default_small_club
3d03d1b,BL Dancehall and Saloon,Agoura Hills,1,1,500,default_small_club
5bd40390,Curran Theatre,San Francisco,1,1,1200,heuristic_theater
bd095b6,Sagebrush Cantina,Calabasas,1,1,500,default_small_club
2bd7448a,Bel Air Bay Club,Los Angeles,1,1,500,default_small_club
33d0e0c9,Private Venue,Rancho Santa Fe,1,1,500,default_small_club
13d2b14d,State Social House,West Hollywood,1,1,500,default_small_club
6bd34a6a,Private Venue,Napa,1,1,500,default_small_club
6bd20a22,Memorial Park,Albany,1,1,500,default_small_club
3d6757b,Old Towne Pub,Pasadena,1,1,200,heuristic_pub
43d4f383,Sound Nightclub,Los Angeles,1,1,700,operator
